check_time,bp0_sb0_ibc_0_vol,bp0_sb0_ibc_1_vol,bp0_sb0_ibc_2_vol,bp0_sb0_ibc_3_vol,bp0_sb1_ibc_0_vol,bp0_sb1_ibc_1_vol,bp0_sb1_ibc_2_vol,bp0_sb1_ibc_3_vol,bp0_sb2_ibc_0_vol,bp0_sb2_ibc_1_vol,bp0_sb2_ibc_2_vol,bp0_sb2_ibc_3_vol,bp0_sb3_ibc_0_vol,bp0_sb3_ibc_1_vol,bp0_sb3_ibc_2_vol,bp0_sb3_ibc_3_vol,bp0_sb4_ibc_0_vol,bp0_sb4_ibc_1_vol,bp0_sb4_ibc_2_vol,bp0_sb4_ibc_3_vol,bp0_sb5_ibc_0_vol,bp0_sb5_ibc_1_vol,bp0_sb5_ibc_2_vol,bp0_sb5_ibc_3_vol,bp0_sb6_ibc_0_vol,bp0_sb6_ibc_1_vol,bp0_sb6_ibc_2_vol,bp0_sb6_ibc_3_vol,bp0_sb7_ibc_0_vol,bp0_sb7_ibc_1_vol,bp0_sb7_ibc_2_vol,bp0_sb7_ibc_3_vol,bp0_sb8_ibc_0_vol,bp0_sb8_ibc_1_vol,bp0_sb8_ibc_2_vol,bp0_sb8_ibc_3_vol,bp0_sb9_ibc_0_vol,bp0_sb9_ibc_1_vol,bp0_sb9_ibc_2_vol,bp0_sb9_ibc_3_vol,bp0_sb10_ibc_0_vol,bp0_sb10_ibc_1_vol,bp0_sb10_ibc_2_vol,bp0_sb10_ibc_3_vol,bp0_sb11_ibc_0_vol,bp0_sb11_ibc_1_vol,bp0_sb11_ibc_2_vol,bp0_sb11_ibc_3_vol,bp1_sb0_ibc_0_vol,bp1_sb0_ibc_1_vol,bp1_sb0_ibc_2_vol,bp1_sb0_ibc_3_vol,bp1_sb1_ibc_0_vol,bp1_sb1_ibc_1_vol,bp1_sb1_ibc_2_vol,bp1_sb1_ibc_3_vol,bp1_sb2_ibc_0_vol,bp1_sb2_ibc_1_vol,bp1_sb2_ibc_2_vol,bp1_sb2_ibc_3_vol,bp1_sb3_ibc_0_vol,bp1_sb3_ibc_1_vol,bp1_sb3_ibc_2_vol,bp1_sb3_ibc_3_vol,bp1_sb4_ibc_0_vol,bp1_sb4_ibc_1_vol,bp1_sb4_ibc_2_vol,bp1_sb4_ibc_3_vol,bp1_sb5_ibc_0_vol,bp1_sb5_ibc_1_vol,bp1_sb5_ibc_2_vol,bp1_sb5_ibc_3_vol,bp1_sb6_ibc_0_vol,bp1_sb6_ibc_1_vol,bp1_sb6_ibc_2_vol,bp1_sb6_ibc_3_vol,bp1_sb7_ibc_0_vol,bp1_sb7_ibc_1_vol,bp1_sb7_ibc_2_vol,bp1_sb7_ibc_3_vol,bp1_sb8_ibc_0_vol,bp1_sb8_ibc_1_vol,bp1_sb8_ibc_2_vol,bp1_sb8_ibc_3_vol,bp1_sb9_ibc_0_vol,bp1_sb9_ibc_1_vol,bp1_sb9_ibc_2_vol,bp1_sb9_ibc_3_vol,bp1_sb10_ibc_0_vol,bp1_sb10_ibc_1_vol,bp1_sb10_ibc_2_vol,bp1_sb10_ibc_3_vol,bp1_sb11_ibc_0_vol,bp1_sb11_ibc_1_vol,bp1_sb11_ibc_2_vol,bp1_sb11_ibc_3_vol
2019-05-28 14:00:01,12.239,12.272,12.255,12.272,12.272,12.272,12.272,12.272,12.305,12.305,12.305,12.321,12.272,12.288,12.272,12.272,12.272,12.272,12.272,12.272,12.288,12.288,12.305,12.288,12.272,12.255,12.272,12.255,12.305,12.321,12.321,12.321,12.321,12.338,12.321,12.305,12.288,12.288,12.288,12.288,12.305,12.321,12.305,12.321,12.272,12.272,12.288,12.272,12.305,12.305,12.288,12.288,12.288,12.255,12.239,12.272,12.272,12.272,12.272,12.272,12.338,12.338,12.338,12.338,12.272,12.272,12.272,12.272,12.272,12.272,12.272,12.272,12.288,12.288,12.223,12.288,12.305,12.288,12.288,12.288,12.288,12.288,12.272,12.288,12.272,12.272,12.272,12.272,12.239,12.255,12.288,12.305,12.321,12.321,12.321,12.321
2019-05-28 14:05:01,12.272,12.272,12.272,12.272,12.288,12.321,12.321,12.305,12.288,12.288,12.288,12.288,12.321,12.305,12.288,12.305,12.157,12.288,12.288,12.288,12.272,12.272,12.272,12.272,12.288,12.255,12.288,12.288,12.288,12.288,12.288,12.288,12.288,12.288,12.288,12.288,12.305,12.305,12.305,12.305,12.272,12.272,12.288,12.288,12.288,12.305,12.305,12.305,12.305,12.305,12.288,12.288,12.255,12.255,12.255,12.255,12.272,12.272,12.272,12.272,12.288,12.321,12.338,12.223,12.305,12.305,12.255,12.305,12.272,12.272,12.272,12.272,12.288,12.288,12.288,12.272,12.305,12.288,12.288,12.288,12.288,12.305,12.272,12.272,12.288,12.288,12.272,12.272,12.288,12.272,12.272,12.272,12.321,12.305,12.321,12.321
2019-05-28 14:10:01,12.239,12.223,12.223,12.239,12.272,12.272,12.272,12.272,12.321,12.321,12.305,12.321,12.272,12.288,12.288,12.288,12.239,12.272,12.272,12.206,12.272,12.272,12.272,12.272,12.288,12.288,12.288,12.288,12.305,12.288,12.288,12.288,12.288,12.288,12.288,12.288,12.321,12.321,12.305,12.255,12.288,12.272,12.272,12.288,12.288,12.305,12.305,12.305,12.321,12.321,12.321,12.321,12.272,12.255,12.255,12.255,12.305,12.288,12.288,12.288,12.305,12.305,12.305,12.305,12.272,12.288,12.223,12.288,12.305,12.305,12.255,12.288,12.255,12.272,12.272,12.255,12.305,12.321,12.305,12.305,12.272,12.272,12.272,12.272,12.288,12.239,12.255,12.272,12.305,12.305,12.305,12.321,12.305,12.305,12.305,12.305
2019-05-28 14:15:01,12.288,12.272,12.272,12.288,12.272,12.272,12.272,12.288,12.305,12.321,12.305,12.321,12.288,12.288,12.288,12.288,12.288,12.239,12.305,12.305,12.272,12.272,12.272,12.272,12.255,12.272,12.223,12.223,12.321,12.321,12.305,12.321,12.288,12.288,12.305,12.288,12.272,12.305,12.305,12.305,12.288,12.288,12.288,12.288,12.272,12.288,12.272,12.272,12.288,12.272,12.288,12.321,12.255,12.255,12.255,12.255,12.288,12.255,12.19,12.255,12.255,12.338,12.338,12.338,12.272,12.272,12.272,12.272,12.305,12.305,12.239,12.272,12.255,12.255,12.255,12.255,12.321,12.321,12.305,12.321,12.272,12.272,12.272,12.272,12.288,12.305,12.305,12.305,12.288,12.272,12.272,12.288,12.305,12.305,12.305,12.305
2019-05-28 14:20:02,12.272,12.272,12.272,12.272,12.321,12.305,12.305,12.305,12.288,12.288,12.288,12.288,12.305,12.305,12.305,12.305,12.272,12.272,12.272,12.272,12.288,12.288,12.305,12.305,12.272,12.255,12.255,12.272,12.255,12.305,12.305,12.321,12.321,12.305,12.321,12.305,12.288,12.288,12.288,12.272,12.255,12.305,12.321,12.288,12.288,12.288,12.272,12.272,12.288,12.288,12.288,12.305,12.272,12.288,12.288,12.288,12.272,12.272,12.272,12.272,12.338,12.338,12.321,12.338,12.272,12.272,12.272,12.272,12.272,12.272,12.272,12.272,12.239,12.288,12.272,12.272,12.288,12.288,12.288,12.288,12.288,12.305,12.305,12.305,12.272,12.272,12.288,12.272,12.272,12.272,12.272,12.288,12.338,12.338,12.321,12.321
2019-05-28 14:25:01,12.272,12.272,12.272,12.272,12.338,12.288,12.255,12.288,12.305,12.288,12.288,12.288,12.19,12.305,12.255,12.321,12.305,12.305,12.255,12.272,12.272,12.272,12.272,12.272,12.255,12.272,12.305,12.239,12.288,12.288,12.288,12.288,12.305,12.288,12.288,12.239,12.272,12.255,12.305,12.305,12.288,12.288,12.272,12.288,12.272,12.305,12.305,12.305,12.305,12.288,12.305,12.305,12.255,12.255,12.255,12.272,12.255,12.305,12.305,12.288,12.305,12.305,12.321,12.305,12.255,12.305,12.305,12.305,12.272,12.272,12.272,12.272,12.288,12.272,12.272,12.239,12.288,12.288,12.288,12.288,12.272,12.223,12.206,12.288,12.288,12.272,12.272,12.272,12.288,12.272,12.239,12.288,12.321,12.321,12.305,12.321
2019-05-28 14:30:01,12.272,12.272,12.272,12.272,12.272,12.255,12.272,12.305,12.321,12.321,12.321,12.321,12.288,12.288,12.272,12.288,12.321,12.305,12.288,12.288,12.272,12.272,12.272,12.272,12.255,12.206,12.272,12.288,12.321,12.321,12.321,12.305,12.288,12.288,12.288,12.288,12.321,12.321,12.321,12.305,12.305,12.305,12.305,12.305,12.288,12.272,12.288,12.272,12.321,12.288,12.321,12.305,12.288,12.288,12.288,12.288,12.272,12.272,12.272,12.272,12.305,12.305,12.305,12.305,12.255,12.288,12.305,12.321,12.272,12.272,12.272,12.272,12.272,12.255,12.272,12.255,12.305,12.338,12.321,12.321,12.272,12.288,12.288,12.305,12.272,12.272,12.288,12.288,12.19,12.255,12.288,12.305,12.288,12.305,12.321,12.321
2019-05-28 14:35:02,12.272,12.272,12.272,12.272,12.239,12.288,12.305,12.255,12.305,12.305,12.305,12.321,12.288,12.288,12.288,12.288,12.255,12.288,12.239,12.239,12.272,12.272,12.272,12.272,12.288,12.288,12.288,12.288,12.321,12.321,12.305,12.288,12.288,12.288,12.288,12.288,12.255,12.305,12.272,12.255,12.272,12.288,12.288,12.288,12.255,12.288,12.288,12.305,12.239,12.321,12.305,12.288,12.255,12.272,12.272,12.255,12.305,12.321,12.305,12.305,12.305,12.305,12.305,12.305,12.305,12.223,12.255,12.239,12.272,12.272,12.272,12.272,12.255,12.272,12.288,12.272,12.321,12.321,12.321,12.321,12.288,12.272,12.272,12.272,12.305,12.239,12.288,12.305,12.272,12.288,12.272,12.288,12.321,12.338,12.338,12.288
2019-05-28 14:40:01,12.305,12.305,12.272,12.288,12.288,12.272,12.288,12.272,12.305,12.338,12.305,12.305,12.272,12.288,12.272,12.272,12.288,12.288,12.288,12.288,12.272,12.272,12.272,12.272,12.272,12.255,12.255,12.272,12.321,12.321,12.338,12.321,12.288,12.288,12.288,12.288,12.305,12.288,12.255,12.223,12.288,12.288,12.288,12.288,12.305,12.288,12.255,12.288,12.338,12.239,12.206,12.305,12.272,12.255,12.255,12.255,12.239,12.288,12.305,12.255,12.305,12.305,12.305,12.305,12.19,12.288,12.305,12.305,12.272,12.272,12.272,12.272,12.272,12.255,12.255,12.272,12.321,12.321,12.272,12.272,12.272,12.272,12.272,12.272,12.288,12.239,12.305,12.305,12.305,12.305,12.305,12.305,12.305,12.305,12.305,12.305
2019-05-28 14:45:01,12.272,12.157,12.272,12.272,12.272,12.272,12.272,12.272,12.305,12.321,12.305,12.305,12.206,12.288,12.288,12.272,12.272,12.272,12.272,12.272,12.305,12.288,12.305,12.288,12.255,12.272,12.272,12.272,12.288,12.288,12.288,12.288,12.321,12.272,12.272,12.305,12.288,12.288,12.288,12.288,12.272,12.157,12.305,12.305,12.288,12.272,12.272,12.272,12.288,12.305,12.288,12.288,12.239,12.288,12.223,12.272,12.272,12.272,12.272,12.272,12.354,12.305,12.338,12.354,12.272,12.272,12.288,12.272,12.288,12.239,12.239,12.206,12.272,12.19,12.272,12.255,12.305,12.321,12.321,12.321,12.272,12.272,12.272,12.272,12.288,12.272,12.272,12.288,12.305,12.288,12.305,12.305,12.305,12.305,12.305,12.305
2019-05-28 14:50:01,12.272,12.255,12.255,12.272,12.223,12.288,12.272,12.288,12.288,12.288,12.288,12.288,12.305,12.305,12.305,12.305,12.272,12.272,12.272,12.272,12.288,12.288,12.288,12.305,12.255,12.255,12.255,12.272,12.305,12.321,12.321,12.305,12.321,12.305,12.321,12.305,12.288,12.288,12.288,12.288,12.305,12.305,12.305,12.305,12.288,12.288,12.272,12.272,12.305,12.305,12.288,12.288,12.255,12.288,12.272,12.272,12.272,12.272,12.272,12.272,12.354,12.321,12.338,12.321,12.305,12.288,12.305,12.255,12.272,12.272,12.272,12.272,12.288,12.288,12.272,12.272,12.288,12.288,12.288,12.288,12.305,12.288,12.288,12.305,12.288,12.288,12.272,12.272,12.272,12.272,12.272,12.272,12.288,12.272,12.321,12.321
2019-05-28 14:55:01,12.305,12.239,12.288,12.255,12.288,12.288,12.288,12.288,12.288,12.288,12.288,12.288,12.206,12.255,12.305,12.321,12.272,12.272,12.272,12.272,12.272,12.305,12.288,12.288,12.288,12.288,12.173,12.272,12.288,12.288,12.288,12.288,12.321,12.272,12.321,12.272,12.288,12.288,12.288,12.288,12.239,12.305,12.288,12.305,12.288,12.173,12.288,12.305,12.305,12.288,12.288,12.288,12.272,12.173,12.272,12.272,12.272,12.272,12.272,12.272,12.305,12.321,12.338,12.321,12.305,12.288,12.288,12.338,12.272,12.272,12.272,12.272,12.288,12.272,12.223,12.288,12.288,12.305,12.288,12.288,12.288,12.288,12.288,12.288,12.305,12.305,12.305,12.305,12.288,12.272,12.272,12.288,12.321,12.321,12.321,12.321
2019-05-28 15:00:02,12.272,12.272,12.272,12.272,12.239,12.288,12.305,12.305,12.288,12.288,12.288,12.288,12.305,12.305,12.305,12.305,12.288,12.272,12.288,12.272,12.272,12.272,12.272,12.272,12.19,12.272,12.206,12.272,12.288,12.288,12.288,12.288,12.321,12.272,12.288,12.305,12.288,12.288,12.288,12.288,12.255,12.305,12.305,12.305,12.272,12.272,12.272,12.272,12.255,12.338,12.321,12.305,12.272,12.288,12.239,12.239,12.272,12.272,12.272,12.288,12.338,12.272,12.338,12.338,12.321,12.272,12.288,12.288,12.272,12.272,12.272,12.272,12.305,12.288,12.239,12.239,12.288,12.288,12.288,12.288,12.272,12.239,12.239,12.223,12.223,12.288,12.272,12.288,12.272,12.272,12.272,12.272,12.288,12.321,12.321,12.321
2019-05-28 15:05:01,12.288,12.288,12.288,12.288,12.305,12.239,12.288,12.288,12.288,12.305,12.288,12.288,12.321,12.305,12.288,12.288,12.272,12.272,12.272,12.272,12.305,12.288,12.255,12.288,12.239,12.272,12.272,12.255,12.288,12.288,12.288,12.288,12.223,12.321,12.272,12.255,12.288,12.288,12.288,12.288,12.288,12.239,12.255,12.223,12.305,12.255,12.305,12.305,12.305,12.288,12.288,12.305,12.239,12.288,12.288,12.272,12.272,12.288,12.272,12.272,12.338,12.272,12.338,12.305,12.305,12.305,12.305,12.305,12.272,12.272,12.272,12.272,12.272,12.223,12.206,12.272,12.288,12.288,12.288,12.305,12.288,12.305,12.321,12.288,12.272,12.288,12.272,12.272,12.272,12.272,12.305,12.288,12.321,12.321,12.321,12.321
2019-05-28 15:10:01,12.272,12.272,12.223,12.288,12.288,12.272,12.272,12.272,12.321,12.321,12.321,12.321,12.321,12.321,12.321,12.239,12.272,12.272,12.272,12.272,12.272,12.255,12.288,12.305,12.272,12.255,12.239,12.206,12.272,12.272,12.305,12.288,12.288,12.288,12.288,12.288,12.321,12.305,12.305,12.255,12.305,12.272,12.288,12.288,12.288,12.288,12.272,12.288,12.338,12.321,12.321,12.272,12.255,12.272,12.255,12.272,12.305,12.305,12.305,12.305,12.338,12.305,12.338,12.338,12.305,12.321,12.305,12.305,12.272,12.272,12.272,12.272,12.288,12.288,12.288,12.288,12.288,12.288,12.305,12.288,12.272,12.288,12.272,12.272,12.255,12.305,12.288,12.305,12.272,12.272,12.272,12.288,12.305,12.305,12.305,12.272
2019-05-28 15:15:01,12.272,12.272,12.272,12.272,12.305,12.272,12.272,12.305,12.321,12.321,12.305,12.321,12.272,12.288,12.288,12.288,12.272,12.272,12.338,12.288,12.272,12.272,12.272,12.272,12.272,12.255,12.239,12.288,12.305,12.305,12.305,12.288,12.288,12.288,12.288,12.288,12.305,12.321,12.272,12.305,12.288,12.288,12.288,12.288,12.255,12.321,12.305,12.305,12.321,12.321,12.321,12.321,12.255,12.255,12.255,12.255,12.305,12.272,12.305,12.223,12.321,12.305,12.305,12.305,12.305,12.255,12.255,12.305,12.305,12.305,12.305,12.19,12.255,12.272,12.255,12.255,12.338,12.321,12.321,12.338,12.272,12.272,12.272,12.272,12.288,12.305,12.305,12.305,12.288,12.288,12.288,12.272,12.305,12.305,12.305,12.305
2019-05-28 15:20:01,12.272,12.272,12.272,12.272,12.305,12.305,12.305,12.305,12.288,12.288,12.288,12.288,12.288,12.272,12.288,12.288,12.223,12.255,12.321,12.305,12.272,12.272,12.272,12.272,12.255,12.272,12.272,12.255,12.288,12.288,12.288,12.288,12.321,12.321,12.321,12.305,12.321,12.321,12.321,12.305,12.305,12.288,12.288,12.255,12.305,12.305,12.305,12.305,12.288,12.288,12.288,12.288,12.288,12.288,12.272,12.288,12.272,12.272,12.272,12.272,12.305,12.305,12.305,12.272,12.288,12.305,12.305,12.305,12.272,12.272,12.272,12.272,12.239,12.288,12.239,12.288,12.305,12.288,12.288,12.288,12.305,12.272,12.19,12.305,12.305,12.305,12.272,12.305,12.288,12.272,12.288,12.272,12.321,12.305,12.19,12.305
2019-05-28 15:25:01,12.206,12.239,12.288,12.288,12.288,12.288,12.305,12.305,12.288,12.288,12.288,12.288,12.321,12.305,12.305,12.305,12.206,12.272,12.272,12.272,12.272,12.272,12.272,12.272,12.255,12.288,12.288,12.272,12.288,12.288,12.288,12.288,12.321,12.288,12.321,12.272,12.305,12.305,12.305,12.305,12.288,12.288,12.288,12.288,12.288,12.305,12.321,12.321,12.288,12.288,12.288,12.305,12.255,12.255,12.239,12.239,12.305,12.288,12.305,12.305,12.305,12.305,12.305,12.305,12.305,12.305,12.321,12.272,12.272,12.272,12.272,12.272,12.255,12.272,12.255,12.223,12.321,12.288,12.288,12.255,12.272,12.272,12.272,12.272,12.288,12.288,12.305,12.305,12.288,12.288,12.288,12.288,12.305,12.272,12.321,12.338
2019-05-28 15:30:01,12.272,12.272,12.272,12.272,12.305,12.19,12.173,12.288,12.288,12.288,12.288,12.272,12.288,12.288,12.288,12.288,12.288,12.239,12.239,12.223,12.272,12.272,12.272,12.272,12.239,12.239,12.288,12.239,12.305,12.272,12.305,12.305,12.288,12.288,12.288,12.288,12.272,12.305,12.305,12.305,12.272,12.288,12.288,12.288,12.305,12.288,12.272,12.305,12.288,12.288,12.305,12.288,12.255,12.255,12.255,12.255,12.272,12.272,12.272,12.272,12.272,12.338,12.321,12.338,12.305,12.305,12.305,12.272,12.272,12.288,12.272,12.272,12.288,12.272,12.288,12.288,12.305,12.305,12.288,12.288,12.272,12.272,12.272,12.272,12.288,12.272,12.288,12.305,12.272,12.272,12.272,12.288,12.321,12.321,12.321,12.321
2019-05-28 15:35:01,12.272,12.272,12.272,12.272,12.288,12.272,12.272,12.272,12.321,12.321,12.272,12.305,12.288,12.288,12.288,12.288,12.272,12.272,12.255,12.223,12.288,12.288,12.305,12.288,12.272,12.272,12.272,12.255,12.321,12.305,12.321,12.305,12.288,12.288,12.288,12.288,12.255,12.321,12.288,12.255,12.305,12.305,12.305,12.305,12.272,12.272,12.288,12.288,12.321,12.321,12.321,12.305,12.255,12.255,12.255,12.255,12.288,12.272,12.272,12.223,12.321,12.321,12.338,12.338,12.288,12.272,12.288,12.272,12.288,12.272,12.272,12.223,12.255,12.255,12.255,12.255,12.288,12.288,12.321,12.272,12.305,12.288,12.288,12.305,12.272,12.272,12.272,12.272,12.272,12.305,12.305,12.305,12.305,12.305,12.305,12.305
2019-05-28 15:40:01,12.288,12.288,12.288,12.305,12.272,12.272,12.272,12.272,12.288,12.288,12.288,12.288,12.19,12.272,12.305,12.321,12.272,12.272,12.272,12.272,12.288,12.272,12.288,12.288,12.255,12.288,12.239,12.288,12.288,12.288,12.288,12.288,12.288,12.288,12.288,12.288,12.288,12.239,12.272,12.321,12.288,12.338,12.305,12.305,12.272,12.272,12.272,12.272,12.305,12.305,12.338,12.338,12.255,12.255,12.255,12.255,12.321,12.288,12.305,12.19,12.338,12.338,12.338,12.321,12.272,12.272,12.272,12.272,12.305,12.288,12.288,12.288,12.255,12.255,12.255,12.255,12.305,12.305,12.305,12.288,12.288,12.288,12.305,12.288,12.272,12.272,12.272,12.272,12.305,12.305,12.223,12.288,12.288,12.305,12.305,12.305
2019-05-28 15:45:01,12.239,12.288,12.272,12.288,12.288,12.272,12.272,12.272,12.288,12.288,12.288,12.288,12.321,12.239,12.288,12.255,12.272,12.272,12.272,12.272,12.288,12.255,12.305,12.272,12.288,12.288,12.272,12.272,12.288,12.288,12.288,12.288,12.288,12.338,12.255,12.272,12.288,12.288,12.288,12.288,12.338,12.288,12.288,12.305,12.305,12.288,12.305,12.305,12.305,12.305,12.305,12.288,12.239,12.288,12.288,12.223,12.272,12.272,12.272,12.272,12.338,12.338,12.321,12.338,12.305,12.288,12.272,12.288,12.272,12.272,12.272,12.272,12.239,12.272,12.19,12.288,12.288,12.288,12.288,12.305,12.288,12.288,12.288,12.288,12.272,12.288,12.272,12.272,12.305,12.321,12.272,12.305,12.305,12.305,12.305,12.305
2019-05-28 15:50:01,12.272,12.272,12.272,12.272,12.223,12.255,12.206,12.288,12.288,12.288,12.288,12.288,12.305,12.305,12.305,12.305,12.272,12.272,12.272,12.272,12.272,12.272,12.272,12.272,12.288,12.288,12.288,12.305,12.321,12.321,12.288,12.288,12.321,12.338,12.288,12.288,12.288,12.288,12.288,12.288,12.272,12.288,12.288,12.338,12.272,12.288,12.288,12.288,12.321,12.321,12.321,12.321,12.255,12.272,12.255,12.255,12.272,12.272,12.272,12.272,12.321,12.288,12.288,12.321,12.272,12.272,12.272,12.288,12.305,12.255,12.288,12.272,12.272,12.288,12.272,12.272,12.288,12.288,12.288,12.288,12.272,12.288,12.255,12.272,12.305,12.288,12.288,12.272,12.272,12.272,12.272,12.272,12.255,12.223,12.321,12.338
